Region,Total_Students,Average_Score,Min_Score,Max_Score,Std_Deviation,Near_Perfect_Count,Nominations_Won,Near_Perfect_Percentage,Nomination_Count,Median_Age,Min_Age,Max_Age,Under_18_Count,Over_30_Count,Under_18_Percentage,Over_30_Percentage,Female_Percentage,Male_Percentage,Gender_Balance_Score,Female_Avg_Score,Male_Avg_Score,Gender_Score_Gap,Better_Performing_Gender,Female_High_Perf_Percentage,Male_High_Perf_Percentage
Луганська обл.,805,152.11,112.251,197.86,15.99,4,"Highest_Географія, Highest_Біологія, Highest_Median_Age, Most_Over_30_Enrollees",0.5,4,26.0,16.0,57.0,149.0,287.0,18.51,35.65,28.45,71.55,43.1,153.14,151.71,1.43,Ж,1.31,0.17
Полтавська обл.,5685,147.04,104.0,200.0,14.24,20,"Lowest_Individual_Scorer, Lowest_Median_Age",0.35,2,17.0,15.0,59.0,3039.0,547.0,53.46,9.62,46.49,53.51,7.02,148.75,145.56,3.19,Ж,0.38,0.2
м. Київ,46256,151.46,101.167,200.0,17.53,638,"Youngest_Enrolled_Applicant, Most_Female_Dominant_Region",1.38,2,17.0,13.0,64.0,29680.0,2345.0,64.16,5.07,55.83,44.17,11.66,153.38,149.03,4.35,Ж,1.41,1.17
Рівненська обл.,4837,143.46,101.385,198.0,15.11,8,None,0.17,0,17.0,15.0,56.0,2588.0,618.0,53.5,12.78,47.1,52.9,5.8,145.33,141.8,3.53,Ж,0.13,0.12
Львівська обл.,20636,152.42,102.0,200.0,17.11,263,"Highest_Фізика, Highest_Математика, Highest_Іноземна мова, Highest_Хімія, Highest_Історія України, Most_Under_18_Enrollees, Largest_Gender_Score_Gap",1.27,7,17.0,15.0,61.0,14381.0,965.0,69.69,4.68,53.99,46.01,7.98,155.31,149.03,6.28,Ж,1.29,1.14
Донецька обл.,886,149.3,103.0,200.0,19.9,23,Widest_Score_Spread,2.6,1,19.0,16.0,58.0,336.0,188.0,37.92,21.22,39.95,60.05,20.1,150.2,148.7,1.5,Ж,2.26,2.82
Вінницька обл.,6139,143.88,101.25,198.4,14.19,9,Tightest_Score_Spread,0.15,1,17.0,15.0,61.0,3673.0,320.0,59.83,5.21,52.19,47.81,4.38,144.86,142.8,2.06,Ж,0.09,0.17
Одеська обл.,11827,155.4,103.0,200.0,16.4,380,Most_Gender_Balanced_Region,3.21,1,17.0,15.0,68.0,7013.0,733.0,59.3,6.2,53.81,46.19,7.62,156.26,154.4,1.86,Ж,2.84,3.59
Сумська обл.,3417,152.98,106.0,200.0,15.95,69,None,2.02,0,18.0,16.0,55.0,1325.0,606.0,38.78,17.73,40.83,59.17,18.34,154.76,151.75,3.01,Ж,2.65,1.34
Харківська обл.,14645,157.52,101.0,200.0,17.57,624,"Highest_Average_Score, Most_Near_Perfect_Enrollments_Percentage",4.26,2,17.0,13.0,66.0,7826.0,1692.0,53.44,11.55,47.4,52.6,5.2,159.23,155.98,3.25,Ж,4.73,3.52
